sg,uf,cod,reg
AC,Acre,12,Norte
AL,Alagoas,27,Nordeste
AP,Amapá,16,Norte
AM,Amazonas,13,Norte
BA,Bahia,29,Nordeste
CE,Ceará,23,Nordeste
DF,Distrito Federal,53,Centro-Oeste
ES,Espírito Santo,32,Sudeste
GO,Goiás,52,Centro-Oeste
MA,Maranhão,21,Nordeste
MT,Mato Grosso,51,Centro-Oeste
MS,Mato Grosso do Sul,50,Centro-Oeste
MG,Minas Gerais,31,Sudeste
PA,Pará,15,Norte
PB,Paraíba,25,Nordeste
PR,Paraná,41,Sul
PE,Pernambuco,26,Nordeste
PI,Piauí,22,Nordeste
RN,Rio Grande do Norte,24,Nordeste
RS,Rio Grande do Sul,43,Sul
RJ,Rio de Janeiro,33,Sudeste
RO,Rondônia,11,Norte
RR,Roraima,14,Norte
SC,Santa Catarina,42,Sul
SP,São Paulo,35,Sudeste
SE,Sergipe,28,Nordeste
TO,Tocantins,17,Norte
